first_name,last_name,email,availability
Gertrude,Davenport,GertrudeDavenport@email.com,"['8:00-9:00pm W', '8:00-9:00pm Th', '8:00-9:00pm F', '6:00-7:00pm F']"
Sally,Racine,SallyRacine@email.com,"['5:00-6:00pm W', '7:00-8:00pm Th', '7:00-8:00pm T', '5:00-6:00pm Th']"
Jeffery,Barth,JefferyBarth@email.com,"['8:00-9:00pm F', '7:00-8:00pm W', '5:00-6:00pm W', '7:00-8:00pm Sun', '8:00-9:00pm M']"
Vera,Coble,VeraCoble@email.com,"['5:00-6:00pm T', '5:00-6:00pm F', '6:00-7:00pm Th', '5:00-6:00pm W']"
Kevin,Scott,KevinScott@email.com,"['3:00-4:00pm Sun', '8:00-9:00pm Sun', '5:00-6:00pm Sun']"
Wilson,Gant,WilsonGant@email.com,"['5:00-6:00pm T', '6:00-7:00pm F', '7:00-8:00pm W', '8:00-9:00pm Sun']"
Terri,Dell,TerriDell@email.com,"['7:00-8:00pm F', '8:00-9:00pm M', '8:00-9:00pm Th']"
Dorothy,Giannetti,DorothyGiannetti@email.com,"['6:00-7:00pm W', '6:00-7:00pm Sun', '3:00-4:00pm Sun', '5:00-6:00pm W']"
James,Brooks,JamesBrooks@email.com,"['4:00-5:00pm Sun', '5:00-6:00pm Sun', '5:00-6:00pm Th', '8:00-9:00pm T']"
Mabel,Ayon,MabelAyon@email.com,"['8:00-9:00pm Sun', '7:00-8:00pm T', '5:00-6:00pm F', '6:00-7:00pm F', '7:00-8:00pm M', '5:00-6:00pm T']"
Curtis,Dibble,CurtisDibble@email.com,"['5:00-6:00pm F', '6:00-7:00pm F', '8:00-9:00pm M', '7:00-8:00pm M', '5:00-6:00pm T']"
Clarence,Fields,ClarenceFields@email.com,"['7:00-8:00pm T', '8:00-9:00pm Th', '8:00-9:00pm F', '5:00-6:00pm Th', '7:00-8:00pm F', '5:00-6:00pm F']"
Marjorie,Walker,MarjorieWalker@email.com,"['6:00-7:00pm M', '5:00-6:00pm T', '7:00-8:00pm W', '4:00-5:00pm Sun', '5:00-6:00pm W']"
Eric,Johnson,EricJohnson@email.com,"['5:00-6:00pm Th', '5:00-6:00pm W', '8:00-9:00pm Th', '8:00-9:00pm T', '6:00-7:00pm M', '7:00-8:00pm T']"
Ruby,Woodard,RubyWoodard@email.com,"['7:00-8:00pm Sun', '5:00-6:00pm Th', '8:00-9:00pm T']"
Angeline,Saunders,AngelineSaunders@email.com,"['7:00-8:00pm Sun', '8:00-9:00pm W', '6:00-7:00pm T']"
Ethel,Redmon,EthelRedmon@email.com,"['7:00-8:00pm W', '8:00-9:00pm T', '6:00-7:00pm Sun', '5:00-6:00pm W', '6:00-7:00pm M', '5:00-6:00pm M']"
Mary,Benack,MaryBenack@email.com,"['6:00-7:00pm Sun', '8:00-9:00pm M', '5:00-6:00pm T']"
Kevin,Vasquez,KevinVasquez@email.com,"['6:00-7:00pm W', '7:00-8:00pm F', '8:00-9:00pm T']"
Michael,Richburg,MichaelRichburg@email.com,"['3:00-4:00pm Sun', '7:00-8:00pm T', '5:00-6:00pm T', '5:00-6:00pm F']"
Deborah,Warren,DeborahWarren@email.com,"['8:00-9:00pm M', '6:00-7:00pm Sun', '5:00-6:00pm Th', '8:00-9:00pm T']"
Derrick,Stroup,DerrickStroup@email.com,"['7:00-8:00pm Th', '5:00-6:00pm T', '8:00-9:00pm M', '7:00-8:00pm M', '6:00-7:00pm Sun', '7:00-8:00pm F']"
Robert,Mewborn,RobertMewborn@email.com,"['7:00-8:00pm T', '6:00-7:00pm Sun', '6:00-7:00pm W']"
Arnold,Carpenter,ArnoldCarpenter@email.com,"['8:00-9:00pm W', '8:00-9:00pm M', '3:00-4:00pm Sun', '7:00-8:00pm M', '6:00-7:00pm Sun', '5:00-6:00pm Th']"
Rosemarie,Treloar,RosemarieTreloar@email.com,"['6:00-7:00pm Sun', '8:00-9:00pm Sun', '6:00-7:00pm M', '6:00-7:00pm T', '7:00-8:00pm Th', '7:00-8:00pm W']"
David,Reynolds,DavidReynolds@email.com,"['7:00-8:00pm W', '8:00-9:00pm Th', '6:00-7:00pm T', '6:00-7:00pm Sun']"
Christine,Plummer,ChristinePlummer@email.com,"['3:00-4:00pm Sun', '6:00-7:00pm M', '7:00-8:00pm M', '7:00-8:00pm W']"
Richard,Sutton,RichardSutton@email.com,"['6:00-7:00pm Sun', '7:00-8:00pm W', '4:00-5:00pm Sun']"
Traci,Weaver,TraciWeaver@email.com,"['4:00-5:00pm Sun', '6:00-7:00pm Th', '7:00-8:00pm Sun', '7:00-8:00pm F', '5:00-6:00pm M', '3:00-4:00pm Sun']"
Lawrence,Heasley,LawrenceHeasley@email.com,"['6:00-7:00pm F', '8:00-9:00pm W', '7:00-8:00pm M', '5:00-6:00pm M', '8:00-9:00pm T']"
Maudie,Lawson,MaudieLawson@email.com,"['5:00-6:00pm W', '4:00-5:00pm Sun', '5:00-6:00pm T', '7:00-8:00pm M', '6:00-7:00pm M']"
Marion,Laue,MarionLaue@email.com,"['5:00-6:00pm W', '8:00-9:00pm Th', '7:00-8:00pm F']"
Lillian,Griffiths,LillianGriffiths@email.com,"['5:00-6:00pm M', '6:00-7:00pm Sun', '8:00-9:00pm M', '4:00-5:00pm Sun', '6:00-7:00pm Th', '7:00-8:00pm M']"
Josephine,Mccants,JosephineMccants@email.com,"['3:00-4:00pm Sun', '6:00-7:00pm Sun', '8:00-9:00pm Sun', '6:00-7:00pm W', '8:00-9:00pm F']"
Robert,Nath,RobertNath@email.com,"['7:00-8:00pm Sun', '7:00-8:00pm F', '6:00-7:00pm M', '8:00-9:00pm Sun', '6:00-7:00pm F', '6:00-7:00pm Sun']"
Kevin,Coates,KevinCoates@email.com,"['7:00-8:00pm Th', '7:00-8:00pm W', '7:00-8:00pm Sun', '8:00-9:00pm F', '5:00-6:00pm T', '5:00-6:00pm Sun']"
John,Page,JohnPage@email.com,"['8:00-9:00pm F', '8:00-9:00pm Th', '6:00-7:00pm W']"
Melody,Waldo,MelodyWaldo@email.com,"['3:00-4:00pm Sun', '8:00-9:00pm T', '8:00-9:00pm W', '6:00-7:00pm Sun']"
Jonathan,Masters,JonathanMasters@email.com,"['5:00-6:00pm W', '8:00-9:00pm T', '8:00-9:00pm M', '6:00-7:00pm F', '7:00-8:00pm Sun', '5:00-6:00pm F']"
Lorraine,Parker,LorraineParker@email.com,"['6:00-7:00pm T', '5:00-6:00pm Th', '5:00-6:00pm T', '5:00-6:00pm F']"
Alda,Pepe,AldaPepe@email.com,"['6:00-7:00pm Sun', '7:00-8:00pm W', '8:00-9:00pm T']"
Carol,Sumpter,CarolSumpter@email.com,"['6:00-7:00pm Sun', '7:00-8:00pm M', '7:00-8:00pm T']"
Janice,Sakoda,JaniceSakoda@email.com,"['5:00-6:00pm W', '4:00-5:00pm Sun', '6:00-7:00pm F', '7:00-8:00pm Th', '7:00-8:00pm Sun']"
William,Maymi,WilliamMaymi@email.com,"['5:00-6:00pm Th', '3:00-4:00pm Sun', '6:00-7:00pm M', '8:00-9:00pm Th', '5:00-6:00pm F']"
Lester,Mendez,LesterMendez@email.com,"['5:00-6:00pm W', '6:00-7:00pm M', '7:00-8:00pm M', '5:00-6:00pm Th', '5:00-6:00pm F', '6:00-7:00pm W']"
Jessica,Davis,JessicaDavis@email.com,"['5:00-6:00pm W', '6:00-7:00pm T', '6:00-7:00pm F', '3:00-4:00pm Sun']"
Justin,Stephens,JustinStephens@email.com,"['7:00-8:00pm T', '6:00-7:00pm M', '5:00-6:00pm Th', '7:00-8:00pm Sun', '3:00-4:00pm Sun', '5:00-6:00pm T']"
Joe,Alford,JoeAlford@email.com,"['5:00-6:00pm T', '6:00-7:00pm T', '5:00-6:00pm W', '5:00-6:00pm Sun', '7:00-8:00pm Sun']"
Donna,Copeland,DonnaCopeland@email.com,"['6:00-7:00pm T', '6:00-7:00pm F', '7:00-8:00pm Th', '3:00-4:00pm Sun']"
Kevin,Damiano,KevinDamiano@email.com,"['5:00-6:00pm Th', '6:00-7:00pm Th', '5:00-6:00pm Sun']"
Naomi,Kalas,NaomiKalas@email.com,"['5:00-6:00pm W', '5:00-6:00pm Sun', '6:00-7:00pm M']"
Maurice,Allen,MauriceAllen@email.com,"['8:00-9:00pm F', '5:00-6:00pm F', '5:00-6:00pm W', '6:00-7:00pm W', '3:00-4:00pm Sun', '8:00-9:00pm Th']"
Luis,Barnes,LuisBarnes@email.com,"['8:00-9:00pm F', '6:00-7:00pm M', '5:00-6:00pm F']"
Jasper,Fillingham,JasperFillingham@email.com,"['6:00-7:00pm M', '8:00-9:00pm Th', '3:00-4:00pm Sun', '5:00-6:00pm W', '6:00-7:00pm F']"
William,Bosco,WilliamBosco@email.com,"['7:00-8:00pm W', '6:00-7:00pm Sun', '5:00-6:00pm T', '7:00-8:00pm M', '8:00-9:00pm T']"
Dora,Kell,DoraKell@email.com,"['8:00-9:00pm Th', '8:00-9:00pm F', '6:00-7:00pm Th']"
Jeremy,Matos,JeremyMatos@email.com,"['7:00-8:00pm Sun', '4:00-5:00pm Sun', '5:00-6:00pm F', '5:00-6:00pm M', '7:00-8:00pm F', '5:00-6:00pm Sun']"
Jeannette,Simon,JeannetteSimon@email.com,"['5:00-6:00pm T', '5:00-6:00pm Th', '8:00-9:00pm W']"
William,Leong,WilliamLeong@email.com,"['6:00-7:00pm T', '6:00-7:00pm W', '7:00-8:00pm W', '5:00-6:00pm T']"
Arthur,Gallagher,ArthurGallagher@email.com,"['7:00-8:00pm T', '8:00-9:00pm Th', '6:00-7:00pm W', '7:00-8:00pm Sun']"
Raphael,Williams,RaphaelWilliams@email.com,"['5:00-6:00pm T', '5:00-6:00pm M', '8:00-9:00pm M', '8:00-9:00pm F', '7:00-8:00pm W']"
Cheryl,Johnson,CherylJohnson@email.com,"['7:00-8:00pm T', '7:00-8:00pm W', '8:00-9:00pm Sun', '5:00-6:00pm T', '8:00-9:00pm W', '6:00-7:00pm T']"
Kathryn,Midkiff,KathrynMidkiff@email.com,"['8:00-9:00pm W', '7:00-8:00pm T', '6:00-7:00pm T', '5:00-6:00pm Sun', '5:00-6:00pm W', '7:00-8:00pm F']"
Luther,Cruz,LutherCruz@email.com,"['4:00-5:00pm Sun', '7:00-8:00pm T', '5:00-6:00pm F', '7:00-8:00pm M']"
Phyllis,Duke,PhyllisDuke@email.com,"['6:00-7:00pm F', '8:00-9:00pm Th', '6:00-7:00pm M', '8:00-9:00pm F', '7:00-8:00pm W']"
Edison,Martinez,EdisonMartinez@email.com,"['5:00-6:00pm Th', '7:00-8:00pm T', '8:00-9:00pm M', '5:00-6:00pm T']"
Lynne,Smith,LynneSmith@email.com,"['5:00-6:00pm Th', '6:00-7:00pm T', '5:00-6:00pm W', '6:00-7:00pm Th', '3:00-4:00pm Sun']"
Michael,Rice,MichaelRice@email.com,"['7:00-8:00pm W', '8:00-9:00pm F', '8:00-9:00pm T', '8:00-9:00pm W', '5:00-6:00pm Th', '6:00-7:00pm T']"
Maude,Graves,MaudeGraves@email.com,"['7:00-8:00pm Sun', '7:00-8:00pm T', '6:00-7:00pm T', '5:00-6:00pm Th']"
April,Mccloskey,AprilMccloskey@email.com,"['4:00-5:00pm Sun', '6:00-7:00pm Sun', '5:00-6:00pm Th', '6:00-7:00pm T', '5:00-6:00pm M']"
Jo,Grajeda,JoGrajeda@email.com,"['3:00-4:00pm Sun', '8:00-9:00pm F', '7:00-8:00pm Sun', '7:00-8:00pm Th', '6:00-7:00pm Sun']"
Claudia,Walker,ClaudiaWalker@email.com,"['8:00-9:00pm T', '6:00-7:00pm F', '5:00-6:00pm F', '5:00-6:00pm W', '6:00-7:00pm Sun', '8:00-9:00pm Th']"
Judy,Fabela,JudyFabela@email.com,"['6:00-7:00pm Th', '5:00-6:00pm M', '7:00-8:00pm Th', '6:00-7:00pm M', '7:00-8:00pm F', '7:00-8:00pm M']"
Anna,Baker,AnnaBaker@email.com,"['5:00-6:00pm Sun', '6:00-7:00pm Sun', '7:00-8:00pm W']"
Jeffery,Brown,JefferyBrown@email.com,"['5:00-6:00pm Sun', '5:00-6:00pm T', '5:00-6:00pm F', '8:00-9:00pm T']"
Paul,Burger,PaulBurger@email.com,"['8:00-9:00pm W', '7:00-8:00pm M', '8:00-9:00pm Sun', '6:00-7:00pm T']"
Maxine,Castrejon,MaxineCastrejon@email.com,"['8:00-9:00pm F', '6:00-7:00pm M', '3:00-4:00pm Sun', '6:00-7:00pm T', '6:00-7:00pm Th', '5:00-6:00pm Sun']"
Christa,Brown,ChristaBrown@email.com,"['6:00-7:00pm Th', '7:00-8:00pm W', '4:00-5:00pm Sun', '8:00-9:00pm M', '8:00-9:00pm Sun']"
Sara,Prado,SaraPrado@email.com,"['5:00-6:00pm M', '8:00-9:00pm T', '6:00-7:00pm T', '6:00-7:00pm M']"
Deborah,Smith,DeborahSmith@email.com,"['5:00-6:00pm Sun', '7:00-8:00pm Th', '3:00-4:00pm Sun']"
Kevin,Kim,KevinKim@email.com,"['6:00-7:00pm F', '6:00-7:00pm Sun', '8:00-9:00pm M', '5:00-6:00pm W', '5:00-6:00pm M']"
Vicki,Shaw,VickiShaw@email.com,"['5:00-6:00pm M', '8:00-9:00pm M', '5:00-6:00pm F', '7:00-8:00pm Th', '8:00-9:00pm Sun']"
Carol,Gonzalez,CarolGonzalez@email.com,"['4:00-5:00pm Sun', '8:00-9:00pm F', '5:00-6:00pm Sun', '6:00-7:00pm F', '6:00-7:00pm M', '8:00-9:00pm Sun']"
Philip,Lobel,PhilipLobel@email.com,"['6:00-7:00pm F', '6:00-7:00pm M', '5:00-6:00pm F', '7:00-8:00pm Th', '6:00-7:00pm Sun', '7:00-8:00pm Sun']"
Joseph,Wilson,JosephWilson@email.com,"['6:00-7:00pm M', '8:00-9:00pm M', '5:00-6:00pm Th', '7:00-8:00pm W', '6:00-7:00pm W', '7:00-8:00pm F']"
Wanda,Foster,WandaFoster@email.com,"['5:00-6:00pm W', '7:00-8:00pm M', '8:00-9:00pm F', '6:00-7:00pm W']"
Victor,Redding,VictorRedding@email.com,"['7:00-8:00pm T', '8:00-9:00pm W', '8:00-9:00pm Th']"
Judith,Mohammed,JudithMohammed@email.com,"['5:00-6:00pm F', '8:00-9:00pm Sun', '6:00-7:00pm T', '6:00-7:00pm M']"
Kerri,Veliz,KerriVeliz@email.com,"['5:00-6:00pm F', '5:00-6:00pm T', '6:00-7:00pm T', '5:00-6:00pm W']"
Marie,Tomlinson,MarieTomlinson@email.com,"['8:00-9:00pm F', '6:00-7:00pm F', '7:00-8:00pm Sun', '7:00-8:00pm W', '7:00-8:00pm T', '7:00-8:00pm Th']"
Sally,Stewart,SallyStewart@email.com,"['6:00-7:00pm Sun', '5:00-6:00pm T', '6:00-7:00pm T', '5:00-6:00pm M']"
Paul,Martin,PaulMartin@email.com,"['7:00-8:00pm M', '8:00-9:00pm F', '5:00-6:00pm Sun', '5:00-6:00pm Th']"
Susan,Robert,SusanRobert@email.com,"['6:00-7:00pm T', '6:00-7:00pm F', '5:00-6:00pm W', '6:00-7:00pm Th', '8:00-9:00pm W']"
Dawn,Goble,DawnGoble@email.com,"['7:00-8:00pm Th', '6:00-7:00pm T', '7:00-8:00pm T']"
Mark,Stevenson,MarkStevenson@email.com,"['6:00-7:00pm F', '3:00-4:00pm Sun', '7:00-8:00pm T', '7:00-8:00pm M', '5:00-6:00pm F', '5:00-6:00pm Th']"
Eileen,Lopez,EileenLopez@email.com,"['8:00-9:00pm T', '7:00-8:00pm Sun', '3:00-4:00pm Sun', '5:00-6:00pm M', '7:00-8:00pm T']"
Joseph,Schofield,JosephSchofield@email.com,"['5:00-6:00pm W', '6:00-7:00pm Sun', '7:00-8:00pm T', '6:00-7:00pm M', '6:00-7:00pm W', '5:00-6:00pm F']"
Minnie,Stanick,MinnieStanick@email.com,"['7:00-8:00pm Sun', '7:00-8:00pm T', '5:00-6:00pm F']"
Marylou,Wildes,MarylouWildes@email.com,"['3:00-4:00pm Sun', '6:00-7:00pm W', '5:00-6:00pm W', '7:00-8:00pm T', '6:00-7:00pm Th', '6:00-7:00pm Sun']"
Anibal,Credeur,AnibalCredeur@email.com,"['8:00-9:00pm W', '7:00-8:00pm F', '7:00-8:00pm T', '6:00-7:00pm M']"
Brian,Gutierrez,BrianGutierrez@email.com,"['6:00-7:00pm W', '6:00-7:00pm M', '6:00-7:00pm Th', '4:00-5:00pm Sun']"
Philip,Mccullough,PhilipMccullough@email.com,"['7:00-8:00pm Sun', '8:00-9:00pm M', '8:00-9:00pm Th', '5:00-6:00pm M', '6:00-7:00pm T', '8:00-9:00pm Sun']"
Maria,Mcgrath,MariaMcgrath@email.com,"['7:00-8:00pm F', '8:00-9:00pm M', '8:00-9:00pm T', '7:00-8:00pm T', '6:00-7:00pm M', '7:00-8:00pm W']"
Timothy,Gordon,TimothyGordon@email.com,"['7:00-8:00pm F', '6:00-7:00pm Th', '3:00-4:00pm Sun']"
Helen,Lopez,HelenLopez@email.com,"['7:00-8:00pm M', '6:00-7:00pm F', '7:00-8:00pm T', '6:00-7:00pm W', '6:00-7:00pm Th']"
Regina,Oliver,ReginaOliver@email.com,"['8:00-9:00pm Th', '7:00-8:00pm Sun', '7:00-8:00pm F']"
Melissa,Ford,MelissaFord@email.com,"['7:00-8:00pm W', '7:00-8:00pm T', '7:00-8:00pm M', '6:00-7:00pm M', '3:00-4:00pm Sun']"
Alexandra,Bloch,AlexandraBloch@email.com,"['6:00-7:00pm Th', '5:00-6:00pm W', '4:00-5:00pm Sun']"
Salvador,Walls,SalvadorWalls@email.com,"['8:00-9:00pm W', '7:00-8:00pm W', '8:00-9:00pm M', '5:00-6:00pm Th']"
Clara,Robinson,ClaraRobinson@email.com,"['5:00-6:00pm M', '5:00-6:00pm T', '6:00-7:00pm M', '5:00-6:00pm Sun', '5:00-6:00pm W']"
Diane,Thomas,DianeThomas@email.com,"['7:00-8:00pm F', '5:00-6:00pm T', '8:00-9:00pm Th']"
Whitney,Joosten,WhitneyJoosten@email.com,"['3:00-4:00pm Sun', '6:00-7:00pm F', '5:00-6:00pm F', '6:00-7:00pm T', '7:00-8:00pm W']"
Dustin,Gonzalez,DustinGonzalez@email.com,"['5:00-6:00pm W', '8:00-9:00pm T', '3:00-4:00pm Sun', '6:00-7:00pm Sun']"
Beverly,Adams,BeverlyAdams@email.com,"['4:00-5:00pm Sun', '5:00-6:00pm Sun', '5:00-6:00pm F', '7:00-8:00pm W', '5:00-6:00pm T']"
Nancy,Davis,NancyDavis@email.com,"['5:00-6:00pm F', '7:00-8:00pm F', '5:00-6:00pm W', '5:00-6:00pm Sun', '8:00-9:00pm Sun', '7:00-8:00pm W']"
Kerry,Walther,KerryWalther@email.com,"['3:00-4:00pm Sun', '5:00-6:00pm T', '6:00-7:00pm Sun']"
Audrey,Singer,AudreySinger@email.com,"['5:00-6:00pm F', '5:00-6:00pm M', '6:00-7:00pm W', '5:00-6:00pm T', '7:00-8:00pm T', '6:00-7:00pm T']"
Ross,Bonner,RossBonner@email.com,"['7:00-8:00pm M', '7:00-8:00pm Th', '5:00-6:00pm Th', '4:00-5:00pm Sun', '5:00-6:00pm M']"
Denice,Sandstrom,DeniceSandstrom@email.com,"['6:00-7:00pm F', '7:00-8:00pm F', '8:00-9:00pm T', '7:00-8:00pm Th']"
Neil,Chase,NeilChase@email.com,"['7:00-8:00pm Th', '5:00-6:00pm Th', '7:00-8:00pm F', '8:00-9:00pm W', '6:00-7:00pm T', '8:00-9:00pm M']"
David,Fountain,DavidFountain@email.com,"['6:00-7:00pm M', '5:00-6:00pm M', '8:00-9:00pm W', '4:00-5:00pm Sun', '5:00-6:00pm W', '8:00-9:00pm T']"
Tracey,Goodin,TraceyGoodin@email.com,"['8:00-9:00pm Sun', '5:00-6:00pm Sun', '7:00-8:00pm Th', '4:00-5:00pm Sun', '6:00-7:00pm Sun', '7:00-8:00pm F']"
Charles,Russo,CharlesRusso@email.com,"['7:00-8:00pm T', '5:00-6:00pm T', '5:00-6:00pm M', '6:00-7:00pm W', '4:00-5:00pm Sun']"
Robert,Mckinney,RobertMckinney@email.com,"['8:00-9:00pm W', '8:00-9:00pm F', '6:00-7:00pm Th', '8:00-9:00pm T', '5:00-6:00pm T']"
Manuel,Sharp,ManuelSharp@email.com,"['5:00-6:00pm Th', '7:00-8:00pm W', '4:00-5:00pm Sun', '5:00-6:00pm W', '6:00-7:00pm Th', '8:00-9:00pm F']"
Susan,Niedringhaus,SusanNiedringhaus@email.com,"['7:00-8:00pm M', '6:00-7:00pm W', '4:00-5:00pm Sun', '5:00-6:00pm Sun']"
Terrance,Blalock,TerranceBlalock@email.com,"['8:00-9:00pm Th', '7:00-8:00pm T', '5:00-6:00pm Sun', '8:00-9:00pm Sun', '7:00-8:00pm Th', '6:00-7:00pm Sun']"
Gloria,Koval,GloriaKoval@email.com,"['7:00-8:00pm Sun', '6:00-7:00pm W', '7:00-8:00pm F', '7:00-8:00pm M']"
Lottie,Anderson,LottieAnderson@email.com,"['5:00-6:00pm Th', '8:00-9:00pm Sun', '7:00-8:00pm Th']"
Robert,Miller,RobertMiller@email.com,"['8:00-9:00pm T', '5:00-6:00pm Th', '7:00-8:00pm T']"
John,Fisher,JohnFisher@email.com,"['3:00-4:00pm Sun', '7:00-8:00pm Th', '5:00-6:00pm Sun', '4:00-5:00pm Sun', '8:00-9:00pm W', '8:00-9:00pm Th']"
Kenneth,Rimer,KennethRimer@email.com,"['8:00-9:00pm Th', '5:00-6:00pm Sun', '7:00-8:00pm T']"
Elizabeth,Predovich,ElizabethPredovich@email.com,"['4:00-5:00pm Sun', '8:00-9:00pm F', '6:00-7:00pm F']"
Arturo,Mora,ArturoMora@email.com,"['7:00-8:00pm M', '6:00-7:00pm Th', '7:00-8:00pm W', '5:00-6:00pm M']"
Laura,Degan,LauraDegan@email.com,"['4:00-5:00pm Sun', '8:00-9:00pm F', '5:00-6:00pm M', '5:00-6:00pm F', '5:00-6:00pm W', '5:00-6:00pm Sun']"
Timothy,Price,TimothyPrice@email.com,"['8:00-9:00pm T', '5:00-6:00pm F', '3:00-4:00pm Sun', '6:00-7:00pm M', '6:00-7:00pm Sun', '5:00-6:00pm Sun']"
Kathy,Carroll,KathyCarroll@email.com,"['6:00-7:00pm F', '6:00-7:00pm T', '5:00-6:00pm W']"
Roberta,Anderson,RobertaAnderson@email.com,"['4:00-5:00pm Sun', '5:00-6:00pm W', '7:00-8:00pm W', '8:00-9:00pm Sun', '8:00-9:00pm W', '3:00-4:00pm Sun']"
Mark,Bell,MarkBell@email.com,"['8:00-9:00pm Th', '5:00-6:00pm W', '8:00-9:00pm W', '7:00-8:00pm Sun', '6:00-7:00pm F', '7:00-8:00pm Th']"
Dorothy,Koetje,DorothyKoetje@email.com,"['8:00-9:00pm T', '5:00-6:00pm T', '8:00-9:00pm M', '6:00-7:00pm Th', '7:00-8:00pm F', '8:00-9:00pm Th']"
John,Acosta,JohnAcosta@email.com,"['4:00-5:00pm Sun', '6:00-7:00pm W', '6:00-7:00pm Th', '8:00-9:00pm W', '5:00-6:00pm Th']"
Linda,Sands,LindaSands@email.com,"['5:00-6:00pm M', '8:00-9:00pm Sun', '5:00-6:00pm T', '8:00-9:00pm F', '6:00-7:00pm W']"
Felicia,Palladino,FeliciaPalladino@email.com,"['6:00-7:00pm F', '6:00-7:00pm Sun', '8:00-9:00pm T']"
Gavin,Palmer,GavinPalmer@email.com,"['8:00-9:00pm M', '7:00-8:00pm T', '5:00-6:00pm M', '7:00-8:00pm Sun', '8:00-9:00pm T']"
Paul,Tyler,PaulTyler@email.com,"['7:00-8:00pm Sun', '6:00-7:00pm Sun', '7:00-8:00pm M', '6:00-7:00pm M']"
Brandon,Windham,BrandonWindham@email.com,"['6:00-7:00pm M', '7:00-8:00pm M', '7:00-8:00pm F']"
Frances,Parsons,FrancesParsons@email.com,"['5:00-6:00pm Th', '7:00-8:00pm W', '3:00-4:00pm Sun', '5:00-6:00pm Sun']"
Bradley,Simpson,BradleySimpson@email.com,"['8:00-9:00pm Th', '5:00-6:00pm M', '6:00-7:00pm W', '6:00-7:00pm Th', '8:00-9:00pm W']"
Terry,Wells,TerryWells@email.com,"['6:00-7:00pm Sun', '7:00-8:00pm T', '8:00-9:00pm W', '6:00-7:00pm F', '7:00-8:00pm W', '7:00-8:00pm Sun']"
Thomas,Cruz,ThomasCruz@email.com,"['8:00-9:00pm W', '6:00-7:00pm M', '3:00-4:00pm Sun', '6:00-7:00pm Sun']"
Kevin,Hust,KevinHust@email.com,"['5:00-6:00pm Sun', '6:00-7:00pm Sun', '6:00-7:00pm M', '6:00-7:00pm T']"
Louise,Wise,LouiseWise@email.com,"['5:00-6:00pm T', '8:00-9:00pm W', '4:00-5:00pm Sun', '6:00-7:00pm T', '6:00-7:00pm F', '5:00-6:00pm W']"
Sue,Thurber,SueThurber@email.com,"['5:00-6:00pm Sun', '3:00-4:00pm Sun', '7:00-8:00pm Th', '6:00-7:00pm Th', '5:00-6:00pm T']"
Hiram,Brown,HiramBrown@email.com,"['7:00-8:00pm M', '8:00-9:00pm T', '7:00-8:00pm W']"
Marjorie,Santana,MarjorieSantana@email.com,"['7:00-8:00pm Th', '6:00-7:00pm W', '5:00-6:00pm M', '6:00-7:00pm Sun']"
William,Mcnair,WilliamMcnair@email.com,"['5:00-6:00pm Th', '8:00-9:00pm M', '5:00-6:00pm Sun']"
Henry,Blevins,HenryBlevins@email.com,"['5:00-6:00pm T', '6:00-7:00pm T', '6:00-7:00pm Th']"
Pamela,Thompson,PamelaThompson@email.com,"['7:00-8:00pm W', '6:00-7:00pm T', '8:00-9:00pm W', '5:00-6:00pm W', '7:00-8:00pm F', '6:00-7:00pm W']"
Andres,Smith,AndresSmith@email.com,"['8:00-9:00pm Sun', '3:00-4:00pm Sun', '5:00-6:00pm M', '5:00-6:00pm Sun']"
Brenda,Simms,BrendaSimms@email.com,"['7:00-8:00pm Sun', '5:00-6:00pm M', '7:00-8:00pm M']"
Mattie,Ganey,MattieGaney@email.com,"['6:00-7:00pm W', '5:00-6:00pm F', '7:00-8:00pm M', '7:00-8:00pm W', '3:00-4:00pm Sun', '5:00-6:00pm Sun']"
Danny,Cranker,DannyCranker@email.com,"['6:00-7:00pm M', '5:00-6:00pm T', '7:00-8:00pm W', '5:00-6:00pm Sun']"
Emory,Jennings,EmoryJennings@email.com,"['4:00-5:00pm Sun', '6:00-7:00pm W', '7:00-8:00pm F']"
Janice,Quandt,JaniceQuandt@email.com,"['7:00-8:00pm Th', '6:00-7:00pm T', '8:00-9:00pm Th', '8:00-9:00pm W', '7:00-8:00pm M', '5:00-6:00pm Sun']"
Donald,Mccrudden,DonaldMccrudden@email.com,"['5:00-6:00pm M', '8:00-9:00pm W', '8:00-9:00pm Th', '6:00-7:00pm Th', '8:00-9:00pm M', '6:00-7:00pm M']"
Geraldine,Long,GeraldineLong@email.com,"['8:00-9:00pm Sun', '6:00-7:00pm Th', '6:00-7:00pm Sun', '6:00-7:00pm T', '8:00-9:00pm Th', '5:00-6:00pm F']"
Harold,Pritt,HaroldPritt@email.com,"['3:00-4:00pm Sun', '6:00-7:00pm Th', '7:00-8:00pm Sun']"
Devin,Chiesa,DevinChiesa@email.com,"['7:00-8:00pm Th', '7:00-8:00pm T', '6:00-7:00pm Th', '7:00-8:00pm M', '8:00-9:00pm Sun', '6:00-7:00pm Sun']"
Martha,Peters,MarthaPeters@email.com,"['6:00-7:00pm F', '6:00-7:00pm W', '8:00-9:00pm T', '5:00-6:00pm F', '5:00-6:00pm T', '7:00-8:00pm Th']"
Heather,Oldham,HeatherOldham@email.com,"['6:00-7:00pm W', '5:00-6:00pm M', '6:00-7:00pm Th', '7:00-8:00pm Sun', '8:00-9:00pm W']"
